	Astrocyte	Endothelial	Microglia	Oligodendrocyte	Neuron
SL452878	0.306640897	0.00096984	0	0.692389263	0
SL453305	0.399518657	0	0	0.346361776	0.254119567
SL450738	0.115511768	0	0	0.30063184	0.583856392
SL452972	0.51409768	0	0	0.48590232	0
SL453211	0.300248123	0.00098623	0	0.665565252	0.033200395
SL453306	0.454567935	0	0	0.31100159	0.234430475
SL452973	0.380366719	0	0	0.619633281	0
SL450739	0.209607736	0	0	0.186707439	0.603684826
SL450740	0.736579816	0.068564333	0	0.194855851	0
SL452974	0.262958015	0	0	0.322085549	0.414956436
SL452879	0.785477435	0.048485583	0	0.166036982	0
SL452594	0.501245043	0.016241927	0	0.48251303	0
SL452880	0.294269418	0	0	0.147809678	0.557920904
SL453212	0.686778822	0	0	0.313221178	0
SL452881	0.201733063	0.005660334	0	0.223190792	0.569415811
SL450741	0.385346214	0.012101796	0	0.350143165	0.252408825
SL450742	0.418467906	0.054949603	0	0.526582491	0
SL453903	0.364640706	0	0.010885773	0.280413244	0.344060278
SL453904	0.204426762	0.019866584	0.005815218	0.096357952	0.673533483
SL453905	0.196400627	0	0	0.227306452	0.57629292
SL452596	0.263176036	0.067032084	0.007907339	0.105539624	0.556344917
SL453214	0.216814539	0	0	0.115270713	0.667914748
SL452597	0.190249091	0	0	0.287905564	0.521845344
SL453906	0.235263952	0	0	0.083685263	0.681050785
SL450745	0.195925096	0.000637934	0	0.155875601	0.64756137
SL452598	0.38389633	0	0	0.40240983	0.21369384
SL452882	0.35101524	0	0	0.116022459	0.532962301
SL453389	0.604810537	0.06737604	0	0.151728578	0.176084846
SL452681	0.633426299	0	0	0.113105208	0.253468493
SL453057	0.073443032	0	0	0.010902643	0.915654325
SL453476	0.832626714	0.059883405	0	0.107489881	0
SL452682	0.047099712	0	0	0.07482299	0.878077298
SL453388	0.422023983	0	0	0.346426105	0.231549912
SL452967	0.273606557	0	0	0.046157596	0.680235847
SL452683	0.809621657	0	0	0.129063574	0.061314769
SL453907	0.326117816	0	0	0.190805089	0.483077095
SL452599	0.216562949	0.019877713	0	0.763559338	0
SL453215	0.484249122	0	0	0.339692008	0.17605887
SL450746	0.337572707	0	0	0.113927582	0.548499711
SL450747	0.353984972	0	0	0.108625582	0.537389446
SL453216	0.265015475	0	0	0.103767035	0.63121749
SL452603	0.464478079	0	0	0.206183267	0.329338654
SL453308	0.299043747	0	0	0.098966645	0.601989608
SL450748	0.651228454	0.011725436	0	0.33704611	0
SL453217	0.399998551	0	0	0.370650341	0.229351108
SL452885	0.363286623	0	0	0.057378196	0.57933518
SL453399	0.206282657	0	0	0.055884288	0.737833054
SL452976	0.23834493	0	0	0.179044262	0.582610808
SL452886	0.351153984	0	0	0.648846016	0
